	AMZ01	AMZ02	AMZ03	AMZ04	AMZ06	AMZ07	AMZ08	AMZ09	AMZ10	AMZ11	AMZ12	AMZ13	AMZ14	AMZ15	AMZ16	AMZ17	AMZ18	AMZ19	AMZ20
cg00004073	0.402882772	0.029020911	0.413720666	0.646290584	0.688895497	0.392034538	0.479080689	0.544899368	0.415995883	0.443164043	0.439219646	0.594270205	0.442907856	0.597397926	0.673544204	0.649880536	0.383563656	0.440609476	0.438697407
cg00011200	0.034110007	0.516061723	0.033398751	0.467148289	0.032080076	0.034808654	0.036118223	0.361888456	0.480002212	0.500015	0.027951228	0.035880706	0.539916327	0.468474749	0.029626683	0.038631253	0.030446655	0.444242732	0.543382279
cg00011891	0.013339462	0.497891173	0.017786295	0.463147594	0.015516013	0.018828892	0.01537155	0.41668581	0.448705976	0.504656133	0.010632826	0.069127951	0.518636296	0.51896166	0.064058912	0.109940862	0.027250126	0.458475192	0.44162041
cg00016522	0.013752042	0.457170385	0.0136986	0.445959142	0.013680607	0.011681291	0.014110333	0.290731224	0.396530459	0.50944263	0.011054326	0.017482038	0.536064121	0.445832881	0.01045192	0.018271341	0.012126567	0.440174549	0.500415381
cg00017157	0.063540005	0.052532457	0.083055921	0.622494583	0.878880246	0.058601898	0.881869542	0.516717111	0.590095603	0.046547661	0.613076773	0.650551222	0.598702769	0.064137198	0.626664581	0.062496857	0.63025197	0.053170376	0.597943187
cg00018245	0.69130896	0.705327299	0.669768206	0.209746681	0.695909652	0.20427939	0.230750865	0.680126871	0.631517276	0.714840818	0.645650495	0.690146115	0.69094963	0.229485428	0.729158763	0.695830331	0.684446147	0.682312767	0.635693805
cg00018261	0.042971281	0.543917542	0.040775626	0.497196153	0.047684653	0.042883095	0.040947446	0.434163648	0.51815764	0.546750935	0.033690462	0.04019625	0.579810465	0.555051352	0.038605851	0.045546472	0.037187014	0.490644359	0.54713038
cg00029931	0.031513873	0.338759403	0.033583994	0.387432485	0.027763329	0.03072372	0.027736359	0.351909764	0.335046502	0.426748087	0.032687991	0.026969799	0.429669439	0.430152999	0.026094166	0.028313076	0.029085552	0.360876323	0.319219321
cg00033209	0.62118386	0.856406245	0.095510548	0.842797791	0.605321552	0.827588909	0.428869284	0.542222664	0.602343982	0.642302203	0.838051697	0.540547169	0.602627258	0.638342055	0.552001451	0.859876629	0.476607825	0.57461596	0.085747777
cg00033213	0.073371455	0.474087575	0.474487787	0.474877751	0.473825814	0.073750619	0.081591174	0.077734081	0.066029982	0.500822038	0.051193632	0.49257454	0.085052077	0.096093357	0.51927091	0.074840135	0.058207714	0.066480205	0.074435597
cg00042902	0.051485078	0.451528124	0.056813882	0.448900655	0.051213625	0.0507902	0.04195738	0.328387319	0.454638427	0.467584744	0.054029274	0.053201311	0.505679368	0.463383797	0.045279881	0.04510532	0.048683218	0.450890142	0.441517513
cg00045070	0.618397219	0.603503685	0.069566595	0.617804472	0.902689754	0.056311504	0.848140834	0.736370748	0.881526649	0.560569649	0.621467157	0.884023581	0.905653252	0.562990857	0.060025214	0.54394072	0.903670269	0.567032318	0.063190961
cg00046099	0.066902435	0.604008784	0.099385535	0.561768975	0.083508483	0.079559481	0.059055398	0.540444724	0.610857439	0.551246373	0.060258771	0.073029123	0.619241511	0.643930174	0.075028919	0.07725545	0.117507619	0.551223556	0.632481581
cg00055165	0.049392226	0.564759287	0.057673227	0.54712163	0.052533314	0.049166593	0.079916013	0.381483139	0.531383376	0.649186024	0.055820931	0.05363658	0.678684137	0.64881164	0.057003232	0.039092735	0.071643414	0.572362273	0.608725338
cg00063477	0.929925901	0.292079203	0.913509885	0.335950339	0.922140041	0.916008191	0.912473317	0.88674856	0.289870455	0.317557558	0.937419813	0.93506187	0.351090845	0.30671252	0.934743171	0.927549622	0.928470661	0.317636889	0.337096185
cg00069771	0.91683329	0.045518381	0.926218358	0.064493072	0.921838082	0.909934506	0.920862157	0.923962215	0.570661076	0.569278023	0.927114321	0.912961314	0.930196017	0.904979506	0.061844449	0.917169824	0.925481341	0.911655829	0.916064609
cg00076400	0.013702354	0.355465017	0.02624391	0.312870557	0.021445412	0.019383066	0.018172082	0.245863408	0.384408499	0.417080467	0.018414122	0.023724485	0.438171016	0.364690517	0.016138551	0.021916063	0.0176518	0.316256666	0.312596334
cg00079479	0.024596062	0.409216353	0.021993687	0.333281219	0.025049311	0.027908441	0.026611638	0.225994121	0.299146597	0.360559999	0.026582632	0.022192718	0.406709736	0.305623475	0.018834465	0.021493361	0.025120776	0.255532071	0.245124798
cg00106757	0.457647311	0.879942881	0.892173742	0.469321515	0.473145228	0.881024495	0.865290547	0.864699612	0.460694884	0.913308918	0.474941432	0.921188406	0.933906659	0.913186775	0.881640758	0.886468377	0.918128774	0.911200341	0.875852192
cg00112256	0.036345605	0.516845783	0.032605057	0.497123748	0.033379821	0.037061463	0.033735905	0.466839223	0.488759601	0.555065446	0.030476347	0.04768373	0.566708227	0.51422058	0.036491044	0.040934735	0.031099793	0.535916386	0.498499422
cg00113623	0.052326733	0.500410987	0.068035386	0.497794767	0.059468493	0.052551414	0.055752968	0.469307563	0.512566103	0.527101148	0.048256474	0.112044155	0.617530383	0.548845963	0.031959799	0.122900365	0.043836992	0.529526314	0.572089312
cg00114625	0.044229106	0.553079635	0.043689662	0.526744191	0.040569104	0.04818343	0.040827476	0.40794452	0.480155245	0.558839094	0.042211342	0.043931211	0.549414369	0.454684988	0.038469683	0.057704493	0.045652539	0.507256811	0.508853006
cg00114913	0.04207352	0.419971901	0.049249881	0.373315722	0.045558928	0.046099609	0.055138975	0.278303241	0.347466388	0.426943995	0.040232008	0.047659333	0.442113843	0.377379328	0.045059826	0.044882564	0.035750541	0.441072794	0.382081898
cg00116709	0.040995024	0.549018731	0.040735736	0.519069044	0.039855175	0.036951469	0.037264728	0.416828506	0.504458836	0.538378817	0.029879669	0.035764847	0.519825182	0.494682744	0.034729646	0.055385851	0.037257699	0.52541355	0.498327683
cg00122779	0.593862057	0.622813594	0.604532199	0.319717675	0.575812891	0.525787923	0.077420058	0.261809957	0.530097224	0.020591396	0.314715457	0.37374039	0.624397911	0.683720853	0.338650309	0.387532181	0.030847564	0.581122902	0.569073612
cg00123214	0.420898655	0.40658456	0.683051904	0.688824681	0.4031717	0.462558429	0.604059522	0.667518368	0.430902831	0.748413125	0.411644618	0.037392872	0.027818888	0.632801922	0.42506708	0.710731757	0.392809344	0.031464569	0.43119524
cg00124902	0.361994397	0.613178106	0.648689137	0.333602773	0.653569617	0.342825221	0.017284615	0.221866525	0.355958822	0.589812906	0.447835139	0.374044526	0.382032267	0.32871014	0.357982194	0.597827752	0.018931367	0.024401398	0.353693367
cg00139317	0.028320065	0.550829523	0.030818174	0.527674533	0.028527841	0.027781599	0.027904521	0.476090748	0.51029756	0.509186508	0.029176643	0.034664196	0.526650913	0.521698465	0.027603867	0.044830315	0.027194126	0.549577691	0.545366662
cg00145348	0.025292107	0.358578521	0.030234179	0.339024688	0.025133951	0.025356903	0.027125826	0.287593161	0.334262287	0.390625885	0.028165463	0.029844551	0.331139737	0.38479588	0.027333428	0.023405721	0.028257668	0.39927152	0.301510817
cg00150363	0.104459114	0.678683593	0.173101395	0.598804458	0.174903088	0.189138825	0.127177036	0.641398664	0.626954233	0.615744699	0.123921043	0.171112646	0.647722313	0.651363003	0.112319033	0.137745729	0.130085431	0.537604072	0.607232938
