	AMZ01	AMZ02	AMZ03	AMZ04	AMZ06	AMZ07	AMZ08	AMZ09	AMZ10	AMZ11	AMZ12	AMZ13	AMZ14	AMZ15	AMZ16	AMZ17	AMZ18	AMZ19	AMZ20
cg00004073	0.415982292	0.02686152	0.417622933	0.786213944	0.768926099	0.461883587	0.698236001	0.631227263	0.49924063	0.499128987	0.467628408	0.710188875	0.479312097	0.726024363	0.889927036	0.708498597	0.392225398	0.491701415	0.443084571
cg00011200	0.036962843	0.446271787	0.034248961	0.541622712	0.03439785	0.034560766	0.029970199	0.529810106	0.503435146	0.571366153	0.028625899	0.027660126	0.57923004	0.502877971	0.028717514	0.032524932	0.029939323	0.491989584	0.54050639
cg00011891	0.010476054	0.505950915	0.01942072	0.495093574	0.016341038	0.020187504	0.009790906	0.431109448	0.53211309	0.596039528	0.009177951	0.014930676	0.569522947	0.554286313	0.011506673	0.011146005	0.011921774	0.485122046	0.43493268
cg00016522	0.014673224	0.469102244	0.011733131	0.479988053	0.012935452	0.01123489	0.014848716	0.422188675	0.48217167	0.512413928	0.012055723	0.012031811	0.547454672	0.457646691	0.013915198	0.009809934	0.01124076	0.489664317	0.488773572
cg00017157	0.078883911	0.121624551	0.071856238	0.543854524	0.871298617	0.056091013	0.807354284	0.060134559	0.535745731	0.086801058	0.588728524	0.574805486	0.593891249	0.068709913	0.440885853	0.06007064	0.580008353	0.057197214	0.620613443
cg00018245	0.767246408	0.823368152	0.750544642	0.183646028	0.748580293	0.169260123	0.217529638	0.732234028	0.793276031	0.814115697	0.708492703	0.759914396	0.748993447	0.514550839	0.845051132	0.751969844	0.73642108	0.709704751	0.6765239
cg00018261	0.043978471	0.530870228	0.042518625	0.567252521	0.037408474	0.045012064	0.045218797	0.563724392	0.658161034	0.632447491	0.035380185	0.03884902	0.629553062	0.553670297	0.042234952	0.042514111	0.040200988	0.543110129	0.522244613
cg00029931	0.036579385	0.35014988	0.031964314	0.353869628	0.034034201	0.027795231	0.03134705	0.403001665	0.347888807	0.513112103	0.032319022	0.027984134	0.435753874	0.434041703	0.025336955	0.028894629	0.031199879	0.382224273	0.302696404
cg00033209	0.525810597	0.705536976	0.114875091	0.736598188	0.541145699	0.817883749	0.410627868	0.622979235	0.402162417	0.44545328	0.745139547	0.509514016	0.514732042	0.531264063	0.337232895	0.855975963	0.420070121	0.578038005	0.103625525
cg00033213	0.07432071	0.469735021	0.480062517	0.480443716	0.483150406	0.067820789	0.07864246	0.067635239	0.05889383	0.508141356	0.071987359	0.508210352	0.0669135	0.066928353	0.511109415	0.065502436	0.063410784	0.07165048	0.068718548
cg00042902	0.0637773	0.461746608	0.060345293	0.450893724	0.051339988	0.043618119	0.05473959	0.456787784	0.49929159	0.635869574	0.053005635	0.054534906	0.538019274	0.469703042	0.047497035	0.04909515	0.058300427	0.507372901	0.494135749
