	AMZ01	AMZ02	AMZ03	AMZ04	AMZ06	AMZ07	AMZ08	AMZ09	AMZ10	AMZ11	AMZ12	AMZ13	AMZ14	AMZ15	AMZ16	AMZ17	AMZ18	AMZ19	AMZ20
cg00004073	0.454270463	0.025701306	0.481184264	0.865478892	0.875353744	0.464974426	0.841284176	0.739735951	0.482157279	0.507182052	0.464198988	0.831333235	0.484655429	0.890898943	0.77064286	0.793420458	0.471229473	0.502207763	0.474780813
cg00011200	0.034239297	0.440813982	0.03349305	0.424784932	0.030079098	0.035655013	0.037532493	0.454651114	0.424642639	0.455275171	0.023769911	0.02819193	0.492177019	0.497802675	0.026113484	0.028940093	0.026388741	0.477483813	0.486195997
cg00011891	0.021786968	0.482268663	0.015395923	0.48427715	0.016073461	0.02136876	0.01614955	0.480731275	0.469689097	0.506585428	0.018581501	0.013112902	0.495084051	0.440543951	0.036671447	0.060570085	0.023431683	0.47044457	0.450770946
cg00016522	0.282953815	0.516376058	0.144712972	0.507507886	0.246375745	0.266658112	0.016640905	0.453651985	0.487120824	0.56170023	0.323310307	0.227200644	0.537536898	0.59240735	0.346000273	0.181362487	0.23340317	0.470429454	0.499899998
cg00017157	0.065633882	0.075904069	0.060767871	0.557320099	0.875099708	0.092306828	0.900729372	0.077947461	0.619817165	0.058703217	0.556174637	0.540325473	0.583524081	0.060913431	0.579783283	0.05727631	0.559572366	0.07067502	0.505502138
cg00018245	0.753210709	0.777782072	0.818767324	0.185281859	0.757834385	0.190161992	0.172529517	0.824252747	0.722152809	0.794372403	0.805991099	0.808908244	0.761922295	0.155466091	0.826720049	0.792581572	0.764328709	0.791642514	0.814844868
cg00018261	0.045882956	0.532160956	0.042699375	0.541293451	0.038620113	0.038602047	0.042578757	0.528583229	0.536266352	0.53713394	0.033776163	0.033891503	0.543441478	0.539790331	0.033975926	0.042246051	0.038372497	0.538356272	0.540812602
cg00029931	0.023977575	0.372223836	0.031500966	0.386275474	0.027895601	0.029071149	0.02918952	0.335423734	0.353100785	0.358408645	0.026397832	0.029949277	0.402156643	0.40272918	0.030642455	0.021798874	0.030872766	0.396967194	0.38435595
cg00033209	0.385070525	0.586929064	0.082802127	0.645935761	0.338749839	0.69323592	0.163025012	0.324128963	0.310877109	0.305128609	0.6022224	0.235619627	0.243632926	0.408730648	0.323513294	0.562733901	0.327636188	0.383524124	0.088523619
cg00033213	0.084605665	0.492962839	0.490623303	0.466960855	0.469665846	0.071039329	0.065443055	0.072679596	0.068091744	0.496554632	0.053183928	0.473132583	0.075470589	0.076734019	0.497441676	0.073335397	0.06378516	0.069841453	0.06694578
cg00042902	0.044322184	0.437113433	0.048832075	0.438651667	0.0460049	0.045352951	0.049439494	0.484288609	0.461957465	0.483251299	0.042211496	0.055189412	0.466311297	0.491892755	0.051249169	0.051319885	0.060008564	0.474350323	0.523867072
cg00045070	0.556586241	0.644054286	0.082790788	0.661949827	0.871326663	0.085011987	0.881868556	0.63256648	0.86556563	0.532360896	0.566326507	0.886538854	0.856262149	0.562677518	0.064012009	0.452661833	0.859478782	0.54118959	0.09260896
cg00046099	0.051689884	0.58441859	0.075101516	0.482972305	0.093183989	0.049672626	0.111081808	0.498240441	0.484203367	0.614424156	0.058025114	0.073378941	0.632023768	0.648786256	0.098813798	0.087971411	0.08480682	0.567365154	0.611074367
cg00055165	0.041655818	0.501176413	0.054059429	0.534127377	0.048355085	0.042234785	0.076391632	0.532493606	0.533548291	0.659144655	0.057064457	0.059378627	0.729767039	0.342658311	0.03121155	0.040696876	0.049227298	0.57995709	0.605531838
cg00063477	0.89498208	0.30473625	0.921117889	0.319073983	0.918171897	0.914341192	0.885859336	0.30944788	0.309387103	0.313612378	0.928800327	0.923290958	0.350194693	0.321973533	0.926489864	0.922109388	0.917491407	0.292466319	0.345941401
