	AMZ01	AMZ02	AMZ03	AMZ04	AMZ06	AMZ07	AMZ08	AMZ09	AMZ10	AMZ11	AMZ12	AMZ13	AMZ14	AMZ15	AMZ16	AMZ17	AMZ18	AMZ19	AMZ20
cg00004073	0.489056444	0.020006075	0.468401634	0.892009557	0.83859302	0.455946725	0.82098378	0.743579303	0.482538814	0.470923429	0.452163832	0.818603482	0.48801633	0.745480005	0.916433883	0.735759571	0.480295034	0.50813494	0.481180278
cg00011200	0.03263598	0.56105856	0.034422228	0.518849317	0.031375078	0.035036963	0.031897155	0.497399119	0.507060794	0.511880826	0.029953311	0.032118025	0.54879009	0.528748504	0.032294891	0.036840864	0.029992687	0.505582206	0.533853887
cg00011891	0.013892456	0.55254158	0.018825739	0.528858924	0.018901658	0.020243468	0.014578225	0.483317454	0.536678706	0.517608861	0.010693455	0.008892681	0.508143066	0.520465678	0.014332244	0.033106827	0.017358636	0.517304331	0.502866168
cg00016522	0.018549096	0.471405999	0.013440275	0.471729485	0.017271143	0.013227476	0.014152783	0.408355405	0.447111797	0.479160803	0.011880575	0.015149185	0.517478819	0.499772908	0.015047936	0.013504423	0.013560917	0.448806736	0.503653907
cg00017157	0.075610865	0.089799851	0.079887391	0.388145209	0.819746914	0.085448115	0.725572392	0.091702018	0.487267812	0.054845398	0.445060284	0.480614905	0.395511046	0.087576185	0.368541817	0.064601687	0.449930914	0.073443698	0.518831584
cg00018245	0.823850593	0.799784333	0.795845526	0.210850697	0.704483417	0.203864878	0.17884529	0.789522798	0.762134685	0.786307042	0.699197035	0.859688202	0.848446705	0.218119069	0.839699292	0.767173334	0.73735988	0.818154739	0.769951887
cg00018261	0.040800178	0.53166251	0.043474264	0.596415844	0.039383103	0.04672752	0.043011963	0.542037865	0.591786532	0.587814777	0.035362883	0.035942967	0.583428304	0.549296617	0.038333411	0.042153349	0.037657267	0.568874089	0.557849777
cg00029931	0.028765203	0.480926096	0.026487289	0.414122126	0.036667178	0.032908597	0.029775302	0.40200983	0.430126501	0.442334209	0.027439806	0.040161475	0.428486703	0.461555001	0.025636384	0.037814553	0.02652654	0.357412464	0.354968775
cg00033209	0.392181859	0.679003488	0.13106092	0.595861867	0.451069353	0.815168856	0.383655529	0.457445055	0.367289539	0.431306753	0.717622484	0.309985658	0.232275387	0.497740271	0.366893946	0.828310181	0.295931116	0.262681994	0.102874534
cg00033213	0.075421521	0.46285196	0.460801083	0.479164224	0.463271005	0.0785961	0.068177462	0.073880449	0.083729127	0.495246772	0.077423081	0.491403356	0.079213276	0.074855582	0.517689693	0.068270347	0.073233481	0.065767932	0.075765107
cg00042902	0.046683106	0.569064855	0.060500268	0.458897703	0.04906559	0.049749581	0.038201859	0.44424293	0.449402886	0.495265131	0.046537211	0.075926537	0.530465178	0.632436551	0.055229072	0.096269819	0.057305208	0.465347386	0.493129923
cg00045070	0.574326923	0.564569728	0.072077112	0.580348188	0.849832789	0.061908709	0.87407761	0.519617504	0.870504917	0.530478609	0.573466067	0.849536131	0.841693929	0.651364232	0.082147465	0.622715176	0.860472594	0.571912189	0.073568677
cg00046099	0.060440458	0.67321925	0.088837479	0.532784969	0.069621245	0.07571027	0.0658051	0.554141106	0.542888754	0.590782046	0.060064684	0.29429348	0.672862616	0.665283279	0.066068979	0.130641585	0.087811872	0.611800992	0.649883168
cg00055165	0.050871747	0.656369179	0.056128094	0.555724463	0.048014566	0.053176102	0.040203334	0.580005043	0.693477858	0.625596204	0.04465585	0.047912683	0.649309887	0.620134115	0.067292306	0.045280523	0.053493781	0.572362428	0.612634769
cg00063477	0.915413802	0.304709467	0.91034058	0.327897976	0.920511783	0.926018583	0.930297802	0.283707864	0.310248325	0.316986625	0.917278015	0.92651087	0.313129286	0.287581841	0.920448439	0.91709539	0.933217286	0.285546341	0.28838791
cg00069771	0.914620194	0.051858808	0.930749628	0.059505413	0.924814151	0.918119363	0.926017999	0.901068856	0.622529948	0.612848859	0.904489489	0.910237567	0.897023616	0.891310559	0.066227176	0.900918765	0.874561619	0.901113425	0.874160707
cg00076400	0.083128025	0.389462812	0.068768023	0.454797253	0.030287047	0.022789075	0.056122002	0.397916747	0.402216506	0.391508259	0.023661697	0.029615275	0.453411697	0.367812243	0.073619254	0.0205842	0.073568907	0.423961022	0.416097416
cg00079479	0.024452787	0.383035892	0.025965378	0.485150204	0.021235438	0.026026751	0.028696948	0.390012041	0.427889791	0.316442485	0.021667388	0.017638861	0.445376321	0.303978586	0.021509581	0.022752682	0.022481684	0.378547147	0.328159315
cg00106757	0.521394638	0.928732843	0.917054218	0.493054235	0.458836458	0.93057973	0.9109322	0.920306413	0.507619541	0.922614574	0.460440642	0.930167875	0.916807232	0.929540087	0.926306619	0.924834722	0.921909032	0.911246662	0.92664104
cg00112256	0.032824429	0.512422603	0.034578636	0.544557871	0.033964278	0.042426111	0.030158711	0.491609069	0.534726027	0.556064164	0.033319045	0.030663468	0.570545495	0.58334067	0.034196665	0.034358242	0.023016321	0.567001751	0.550700443
cg00113623	0.061722583	0.573190293	0.068322465	0.555859549	0.087401381	0.050798242	0.046801472	0.528747652	0.59088778	0.577183457	0.062393294	0.048314755	0.600774951	0.592026746	0.050672963	0.044301487	0.03849613	0.59957589	0.557361231
